               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082772,            0.029614,            0.026075,             0.27798,              0.6312,              0.3661,             0.12711,            0.041956,            0.016891,            0.012164,            0.070197,           0.0033114,           0.0033114
                   1,            0.057333,            0.022099,            0.012519,              0.4396,             0.86008,             0.52722,             0.25709,            0.040584,            0.010103,           0.0032871,            0.040132,            0.006579,            0.006579
                   2,            0.054449,            0.016545,           0.0065759,             0.74242,             0.81264,             0.85536,             0.51355,            0.037588,           0.0076807,           0.0017356,           0.0099998,           0.0097805,           0.0097805
                   3,            0.051372,            0.014513,           0.0052477,             0.58965,             0.77661,             0.71725,             0.23885,            0.037956,           0.0059177,           0.0019452,            0.009703,            0.009703,            0.009703
                   4,            0.044419,            0.012397,           0.0043831,             0.80243,             0.98752,             0.93248,             0.58983,             0.03817,            0.005404,           0.0015475,            0.009703,            0.009703,            0.009703
                   5,            0.039462,            0.011086,            0.003788,             0.93495,             0.99495,             0.98374,             0.57867,            0.025915,           0.0053132,           0.0017585,            0.009604,            0.009604,            0.009604
                   6,            0.035555,           0.0099155,           0.0032819,             0.93082,             0.98123,             0.98218,              0.6409,            0.022373,           0.0049324,           0.0012173,            0.009505,            0.009505,            0.009505
                   7,            0.033604,           0.0097455,           0.0026746,             0.82289,             0.99451,             0.95701,             0.55608,            0.025019,           0.0047956,           0.0012193,            0.009406,            0.009406,            0.009406
                   8,            0.032117,           0.0090877,           0.0026025,             0.97304,             0.99062,              0.9949,             0.72981,            0.019063,           0.0048072,           0.0011494,            0.009307,            0.009307,            0.009307
                   9,            0.029582,           0.0088875,           0.0023133,             0.94701,             0.98485,             0.98518,             0.65316,            0.018635,            0.004456,           0.0010937,            0.009208,            0.009208,            0.009208
                  10,            0.028201,            0.008462,           0.0022414,             0.99911,                   1,               0.995,             0.78054,            0.014908,           0.0042051,          0.00097907,            0.009109,            0.009109,            0.009109
                  11,            0.027692,           0.0084965,           0.0021306,              0.9797,                   1,             0.99485,             0.65801,            0.019155,           0.0045769,          0.00090373,             0.00901,             0.00901,             0.00901
                  12,            0.025995,           0.0082176,           0.0023315,              0.9935,                   1,              0.9906,             0.74493,            0.016074,           0.0042494,            0.001022,            0.008911,            0.008911,            0.008911
                  13,            0.025796,           0.0078401,           0.0018282,             0.99853,                   1,               0.995,             0.77878,            0.016006,           0.0042877,          0.00078771,            0.008812,            0.008812,            0.008812
                  14,            0.025332,           0.0078726,           0.0021066,              0.9989,                   1,               0.995,              0.7274,            0.016833,           0.0042172,          0.00069384,            0.008713,            0.008713,            0.008713
                  15,             0.02453,           0.0076676,           0.0017303,             0.99709,                   1,               0.995,             0.75187,            0.014879,           0.0040422,          0.00073599,            0.008614,            0.008614,            0.008614
                  16,            0.023734,            0.007495,           0.0018888,             0.99892,                   1,               0.995,             0.79499,            0.016826,           0.0040819,          0.00077573,            0.008515,            0.008515,            0.008515
                  17,            0.023407,           0.0076232,           0.0015794,              0.9978,                   1,               0.995,             0.85192,            0.011713,           0.0038657,          0.00080872,            0.008416,            0.008416,            0.008416
                  18,            0.022458,            0.007325,            0.001491,             0.99859,             0.99974,               0.995,             0.81099,             0.01318,           0.0037869,          0.00082599,            0.008317,            0.008317,            0.008317
                  19,            0.020994,           0.0070446,           0.0023494,             0.99867,                   1,               0.995,             0.86707,            0.011002,           0.0036687,          0.00092019,            0.008218,            0.008218,            0.008218
                  20,            0.021957,           0.0072062,           0.0024588,             0.99857,                   1,               0.995,             0.83347,            0.012055,           0.0040335,          0.00077877,            0.008119,            0.008119,            0.008119
                  21,            0.023052,           0.0071587,           0.0022319,             0.99827,                   1,               0.995,             0.78636,            0.014681,           0.0040705,          0.00056313,             0.00802,             0.00802,             0.00802
                  22,            0.021969,           0.0073804,           0.0013297,              0.9991,                   1,               0.995,             0.86205,             0.01132,           0.0036242,          0.00069284,            0.007921,            0.007921,            0.007921
                  23,            0.022199,           0.0069725,           0.0015781,             0.99758,             0.99958,               0.995,             0.85813,            0.011202,           0.0038462,          0.00081844,            0.007822,            0.007822,            0.007822
                  24,            0.020071,           0.0070337,           0.0012833,             0.99926,                   1,               0.995,             0.79931,            0.012099,           0.0037921,          0.00060998,            0.007723,            0.007723,            0.007723
                  25,            0.020451,           0.0070499,           0.0010151,             0.99901,                   1,               0.995,             0.89567,            0.011446,           0.0035533,          0.00055502,            0.007624,            0.007624,            0.007624
                  26,             0.01999,           0.0065143,           0.0011288,             0.99905,                   1,               0.995,             0.86291,            0.010897,           0.0034881,          0.00079746,            0.007525,            0.007525,            0.007525
